"","itemid","condition","cresp","experiment","item","question","question.acc","question.cresp","question.resp","question.rt","sentence","slide_1.resp","slide_1.rt","subject","trial","trial_abort","roi","FFD","FFP","SFD","FPRT","RBRT","TFT","RPD","CRPD","RRT","RRTP","RRTR","RBRC","TRC","LPRT","word","group","spill0len","spill1len","spill2len","spill","NPsubj","NPobj","logTFT","logFPRT","logRPD","wlen"
"34","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","3",147,1,0,147,147,460,147,1202,313,0,313,0,0,187,"each ","1",4,3,4,"0","name","universal",6.13122648948314,4.99043258677874,4.99043258677874,4
"35","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","4",209,1,0,209,387,590,513,1715,381,178,203,1,1,203,"essay ","1",4,3,4,"0","name","universal",6.38012253689976,5.34233425196481,6.24027584517077,5
"38","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","7",176,1,0,176,176,302,478,2193,126,0,126,1,1,126,"effort ","1",4,3,4,"1","name","universal",5.71042701737487,5.17048399503815,6.16961073249146,6
"39","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","8",165,1,165,165,165,165,165,2358,0,0,0,0,0,165,"using ","1",4,3,4,"2","name","universal",5.10594547390058,5.10594547390058,5.10594547390058,5
"40","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","2576113","Abigail wrote each essay with minimal effort using several helpful books.","Y",550,"24","5","0","9",185,1,0,322,322,322,322,2680,0,0,0,0,0,322,"several ","1",4,3,4,"2","name","universal",5.77455154554441,5.77455154554441,5.77455154554441,7
"42","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","5798007","Abigail wrote each essay with minimal effort using several helpful books.","Y",710,"12","54","0","10",119,1,0,234,234,234,234,3640,0,0,0,0,0,234,"helpful ","1",4,3,4,"2","name","universal",5.4553211153577,5.4553211153577,5.4553211153577,7
"49","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","5798007","Abigail wrote each essay with minimal effort using several helpful books.","Y",710,"12","54","0","8",216,1,216,216,216,216,3110,3110,0,0,0,1,1,216,"using ","1",4,3,4,"2","name","universal",5.37527840768417,5.37527840768417,8.04237800517328,5
"50","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","5798007","Abigail wrote each essay with minimal effort using several helpful books.","Y",710,"12","54","0","9",130,1,0,296,296,296,296,3406,0,0,0,0,0,296,"several ","1",4,3,4,"2","name","universal",5.69035945432406,5.69035945432406,5.69035945432406,7
"52","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","6056694","Abigail wrote each essay with minimal effort using several helpful books.","Y",807,"8","118","0","10",256,1,0,256,256,662,480,4844,406,0,406,1,1,406,"helpful ","1",4,3,4,"2","name","universal",6.49526555593701,5.54517744447956,6.17378610390194,7
"53","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","6056694","Abigail wrote each essay with minimal effort using several helpful books.","Y",807,"8","118","0","11",196,1,0,196,499,499,1092,5936,303,303,0,1,1,303,"books. ","1",4,3,4,"2","name","universal",6.21260609575152,5.27811465923052,6.99576615630485,6
"60","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","6056694","Abigail wrote each essay with minimal effort using several helpful books.","Y",807,"8","118","0","8",233,1,0,233,374,374,3964,3964,141,141,0,1,1,141,"using ","1",4,3,4,"2","name","universal",5.92425579741453,5.4510384535657,8.28500889544988,5
"61","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","6056694","Abigail wrote each essay with minimal effort using several helpful books.","Y",807,"8","118","0","9",400,1,0,400,400,811,400,4364,411,0,411,0,0,187,"several ","1",4,3,4,"2","name","universal",6.69826805411541,5.99146454710798,5.99146454710798,7
"63","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","76765","Abigail wrote each essay with minimal effort using several helpful books.","Y",831,"36","34","0","10",69,1,69,69,69,69,357,4471,0,0,0,1,1,69,"helpful ","1",4,3,4,"2","name","universal",4.23410650459726,4.23410650459726,5.87773578177964,7
"68","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","76765","Abigail wrote each essay with minimal effort using several helpful books.","Y",831,"36","34","0","8",226,1,0,226,704,704,3820,3820,478,478,0,1,1,478,"using ","1",4,3,4,"2","name","universal",6.55677835615804,5.42053499927229,8.24800570160062,5
"69","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","76765","Abigail wrote each essay with minimal effort using several helpful books.","Y",831,"36","34","0","9",163,1,0,294,294,294,294,4114,0,0,0,0,0,294,"several ","1",4,3,4,"2","name","universal",5.68357976733868,5.68357976733868,5.68357976733868,7
"70","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","1",85,1,0,4015,4015,4015,4015,4015,0,0,0,0,0,4015,"Abigail ","1",4,3,4,"9","name","universal",8.29779262638086,8.29779262638086,8.29779262638086,7
"71","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","10",305,1,0,305,305,550,305,6545,245,0,245,0,0,245,"helpful ","1",4,3,4,"2","name","universal",6.30991827822652,5.72031177660741,5.72031177660741,7
"72","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","11",120,1,0,120,255,255,500,7045,135,135,0,1,1,135,"books. ","1",4,3,4,"2","name","universal",5.54126354515843,4.78749174278205,6.21460809842219,6
"73","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","2",186,1,186,186,186,186,186,4201,0,0,0,0,0,186,"wrote ","1",4,3,4,"9","name","universal",5.2257466737132,5.2257466737132,5.2257466737132,5
"74","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","3",233,1,233,233,233,233,233,4434,0,0,0,0,0,233,"each ","1",4,3,4,"0","name","universal",5.4510384535657,5.4510384535657,5.4510384535657,4
"75","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","4",127,1,127,127,127,127,127,4561,0,0,0,0,0,127,"essay ","1",4,3,4,"0","name","universal",4.84418708645859,4.84418708645859,4.84418708645859,5
"77","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","6",241,1,0,241,646,646,940,5501,405,405,0,2,2,405,"minimal ","1",4,3,4,"1","name","universal",6.4707995037826,5.48479693349065,6.84587987526405,7
"78","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","7",153,1,153,153,153,153,153,5654,0,0,0,0,0,153,"effort ","1",4,3,4,"1","name","universal",5.03043792139244,5.03043792139244,5.03043792139244,6
"79","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","8",151,1,151,151,151,151,151,5805,0,0,0,0,0,151,"using ","1",4,3,4,"2","name","universal",5.01727983681492,5.01727983681492,5.01727983681492,5
"80","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","9382790","Abigail wrote each essay with minimal effort using several helpful books.","Y",960,"20","93","0","9",227,1,0,435,435,435,435,6240,0,0,0,0,0,435,"several ","1",4,3,4,"2","name","universal",6.07534603108868,6.07534603108868,6.07534603108868,7
"81","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","1",112,1,0,1344,1344,1498,1344,1344,154,0,154,0,0,154,"Abigail ","1",4,3,4,"9","name","universal",7.31188616407716,7.20340552108309,7.20340552108309,7
"82","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","10",110,1,0,486,486,486,1131,4267,0,0,0,1,1,486,"helpful ","1",4,3,4,"2","name","universal",6.18620862390049,6.18620862390049,7.03085747611612,7
"83","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","2",191,1,191,191,191,191,191,1535,0,0,0,0,0,191,"wrote ","1",4,3,4,"9","name","universal",5.25227342804663,5.25227342804663,5.25227342804663,5
"84","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","3",161,1,161,161,161,161,161,1696,0,0,0,0,0,161,"each ","1",4,3,4,"0","name","universal",5.08140436498446,5.08140436498446,5.08140436498446,4
"85","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","4",243,1,0,243,243,431,243,1939,188,0,188,0,0,188,"essay ","1",4,3,4,"0","name","universal",6.06610809010375,5.49306144334055,5.49306144334055,5
"86","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","5",146,1,146,146,146,146,146,2085,0,0,0,0,0,146,"with ","1",4,3,4,"1","name","universal",4.98360662170834,4.98360662170834,4.98360662170834,4
"87","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","6",181,1,0,181,181,484,181,2266,303,0,303,0,0,303,"minimal ","1",4,3,4,"1","name","universal",6.18208490671663,5.19849703126583,5.19849703126583,7
"88","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","7",204,1,204,204,204,204,204,2470,0,0,0,0,0,204,"effort ","1",4,3,4,"1","name","universal",5.31811999384422,5.31811999384422,5.31811999384422,6
"89","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","8",172,1,0,315,315,315,315,2785,0,0,0,0,0,315,"using ","1",4,3,4,"2","name","universal",5.75257263882563,5.75257263882563,5.75257263882563,5
"90","10a","a","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","971472","Abigail wrote each essay with minimal effort using several helpful books.","Y",1018,"4","111","0","9",167,1,0,351,351,351,351,3136,0,0,0,0,0,351,"several ","1",4,3,4,"2","name","universal",5.86078622346587,5.86078622346587,5.86078622346587,7
"92","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12005466","Abigail wrote that essay with minimal effort using several helpful books.","Y",19,"17","91","0","10",162,1,0,162,466,466,1402,4956,304,304,0,2,2,304,"helpful ","1",4,3,4,"2","name","demonstrative",6.14418563412565,5.08759633523238,7.24565506759454,7
"93","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12005466","Abigail wrote that essay with minimal effort using several helpful books.","Y",19,"17","91","0","11",49,1,49,49,49,49,428,5384,0,0,0,1,1,49,"books. ","1",4,3,4,"2","name","demonstrative",3.89182029811063,3.89182029811063,6.0591231955818,6
"99","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12005466","Abigail wrote that essay with minimal effort using several helpful books.","Y",19,"17","91","0","7",56,1,0,56,187,332,3414,3414,276,131,145,1,1,145,"effort ","1",4,3,4,"1","name","demonstrative",5.80513496891649,4.02535169073515,8.13563990335439,6
"100","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12005466","Abigail wrote that essay with minimal effort using several helpful books.","Y",19,"17","91","0","8",140,1,0,140,140,374,140,3554,234,0,234,0,0,234,"using ","1",4,3,4,"2","name","demonstrative",5.92425579741453,4.9416424226093,4.9416424226093,5
"102","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","1",135,1,0,1341,1341,1341,1341,1341,0,0,0,0,0,1341,"Abigail ","1",4,3,4,"9","name","demonstrative",7.20117088328168,7.20117088328168,7.20117088328168,7
"103","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","10",139,1,0,764,764,764,764,3566,0,0,0,0,0,764,"helpful ","1",4,3,4,"2","name","demonstrative",6.63856778916652,6.63856778916652,6.63856778916652,7
"104","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","2",156,1,156,156,156,156,156,1497,0,0,0,0,0,156,"wrote ","1",4,3,4,"9","name","demonstrative",5.04985600724954,5.04985600724954,5.04985600724954,5
"105","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","3",376,1,376,376,376,376,376,1873,0,0,0,0,0,376,"that ","1",4,3,4,"0","name","demonstrative",5.92958914338989,5.92958914338989,5.92958914338989,4
"106","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","5",241,1,241,241,241,241,241,2114,0,0,0,0,0,241,"with ","1",4,3,4,"1","name","demonstrative",5.48479693349065,5.48479693349065,5.48479693349065,4
"107","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","6",144,1,144,144,144,144,144,2258,0,0,0,0,0,144,"minimal ","1",4,3,4,"1","name","demonstrative",4.969813299576,4.969813299576,4.969813299576,7
"108","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","7",149,1,149,149,149,149,149,2407,0,0,0,0,0,149,"effort ","1",4,3,4,"1","name","demonstrative",5.00394630594546,5.00394630594546,5.00394630594546,6
"109","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","8",113,1,113,113,113,113,113,2520,0,0,0,0,0,113,"using ","1",4,3,4,"2","name","demonstrative",4.72738781871234,4.72738781871234,4.72738781871234,5
"110","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","12494247","Abigail wrote that essay with minimal effort using several helpful books.","Y",87,"37","122","0","9",282,1,282,282,282,282,282,2802,0,0,0,0,0,282,"several ","1",4,3,4,"2","name","demonstrative",5.64190707093811,5.64190707093811,5.64190707093811,7
"112","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1770299","Abigail wrote that essay with minimal effort using several helpful books.","Y",289,"5","128","0","10",171,1,0,171,1194,1194,1371,3669,1023,1023,0,1,1,1023,"helpful ","1",4,3,4,"2","name","demonstrative",7.08506429395255,5.14166355650266,7.22329567956231,7
"113","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1770299","Abigail wrote that essay with minimal effort using several helpful books.","Y",289,"5","128","0","2",136,1,0,136,301,301,1600,1600,165,165,0,1,1,165,"wrote ","1",4,3,4,"9","name","demonstrative",5.70711026474888,4.91265488573605,7.37775890822787,5
"114","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1770299","Abigail wrote that essay with minimal effort using several helpful books.","Y",289,"5","128","0","4",181,1,0,429,429,429,429,2029,0,0,0,0,0,429,"essay ","1",4,3,4,"0","name","demonstrative",6.06145691892802,6.06145691892802,6.06145691892802,5
"115","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1770299","Abigail wrote that essay with minimal effort using several helpful books.","Y",289,"5","128","0","6",155,1,155,155,155,155,155,2184,0,0,0,0,0,155,"minimal ","1",4,3,4,"1","name","demonstrative",5.04342511691925,5.04342511691925,5.04342511691925,7
"116","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1770299","Abigail wrote that essay with minimal effort using several helpful books.","Y",289,"5","128","0","7",114,1,114,114,114,114,114,2298,0,0,0,0,0,114,"effort ","1",4,3,4,"1","name","demonstrative",4.7361984483945,4.7361984483945,4.7361984483945,6
"119","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","19792153","Abigail wrote that essay with minimal effort using several helpful books.","Y",337,"21","128","0","10",156,1,0,156,285,285,473,2795,129,129,0,1,1,129,"helpful ","1",4,3,4,"2","name","demonstrative",5.65248918026865,5.04985600724954,6.15909538849193,7
"125","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","19792153","Abigail wrote that essay with minimal effort using several helpful books.","Y",337,"21","128","0","8",143,1,143,143,143,143,2322,2322,0,0,0,1,1,143,"using ","1",4,3,4,"2","name","demonstrative",4.96284463025991,4.96284463025991,7.75018416225784,5
"127","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1997048","Abigail wrote that essay with minimal effort using several helpful books.","Y",375,"1","33","0","1",327,1,0,1732,1732,1732,1732,1732,0,0,0,0,0,1732,"Abigail ","1",4,3,4,"9","name","demonstrative",7.45703208912238,7.45703208912238,7.45703208912238,7
"129","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1997048","Abigail wrote that essay with minimal effort using several helpful books.","Y",375,"1","33","0","11",39,1,0,39,541,541,1906,4023,502,502,0,2,2,274,"books. ","1",4,3,4,"2","name","demonstrative",6.29341927884648,3.66356164612965,7.55276208421415,6
"130","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1997048","Abigail wrote that essay with minimal effort using several helpful books.","Y",375,"1","33","0","2",173,1,173,173,173,173,173,1905,0,0,0,0,0,173,"wrote ","1",4,3,4,"9","name","demonstrative",5.15329159449778,5.15329159449778,5.15329159449778,5
"131","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","1997048","Abigail wrote that essay with minimal effort using several helpful books.","Y",375,"1","33","0","3",212,1,212,212,212,212,212,2117,0,0,0,0,0,212,"that ","1",4,3,4,"0","name","demonstrative",5.35658627467201,5.35658627467201,5.35658627467201,4
"136","10b","b","Y","quant","10","Were the books helpful?","1","right trigger","right trigger","20581638","Abigail wrote that essay with minimal effort using several helpful books.","Y",410,"29","121","0","10",218,1,0,451,451,451,451,5434,0,0,0,0,0,451,"helpful ","1",4,3,4,"2","name","demonstrative",6.11146733950268,6.11146733950268,6.11146733950268,7
