"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","label","correctAnswer","correct"
8820,32,"text",7,334646,"0.0-7.0","1Z79o","","",NA,""
6927,32,"text",8,342577,"0.0-8.0","1Z79o","","",NA,""
6789,74,"single-stim",9,350369,"0.0-9.0","1Z79o","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
7216,74,"single-stim",10,358586,"0.0-10.0","1Z79o","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
16832,74,"single-stim",11,376418,"0.0-11.0","1Z79o","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
9750,70,"single-stim",12,387168,"0.0-12.0","1Z79o","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
9967,74,"single-stim",13,398136,"0.0-13.0","1Z79o","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,399138,"0.0-14.0","1Z79o"," ","",NA,""
7285,32,"text",0,7289,"0.0-0.0","2mrel","","",NA,""
29406,70,"single-stim",1,37703,"0.0-1.0","2mrel","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
7798,32,"text",2,46501,"0.0-2.0","2mrel","","",NA,""
12168,32,"text",3,59670,"0.0-3.0","2mrel","","",NA,""
9783,32,"text",4,70454,"0.0-4.0","2mrel","","",NA,""
11111,32,"text",5,82566,"0.0-5.0","2mrel","","",NA,""
4270,32,"text",6,87837,"0.0-6.0","2mrel","","",NA,""
6017,32,"text",7,94854,"0.0-7.0","2mrel","","",NA,""
7335,32,"text",8,103189,"0.0-8.0","2mrel","","",NA,""
10192,70,"single-stim",9,114382,"0.0-9.0","2mrel","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
17854,74,"single-stim",10,133239,"0.0-10.0","2mrel","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
15463,74,"single-stim",11,149703,"0.0-11.0","2mrel","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
16887,74,"single-stim",12,167591,"0.0-12.0","2mrel","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
27863,74,"single-stim",13,196454,"0.0-13.0","2mrel","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,197455,"0.0-14.0","2mrel"," ","",NA,""
72880,32,"text",0,72886,"0.0-0.0","2rxUG","","",NA,""
20973,70,"single-stim",1,94879,"0.0-1.0","2rxUG","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
12008,32,"text",2,107887,"0.0-2.0","2rxUG","","",NA,""
8724,32,"text",3,117612,"0.0-3.0","2rxUG","","",NA,""
7541,32,"text",4,126153,"0.0-4.0","2rxUG","","",NA,""
6261,32,"text",5,133414,"0.0-5.0","2rxUG","","",NA,""
2777,32,"text",6,137192,"0.0-6.0","2rxUG","","",NA,""
8779,32,"text",7,146972,"0.0-7.0","2rxUG","","",NA,""
10204,32,"text",8,158176,"0.0-8.0","2rxUG","","",NA,""
9848,74,"single-stim",9,169027,"0.0-9.0","2rxUG","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
4933,70,"single-stim",10,174962,"0.0-10.0","2rxUG","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
6308,70,"single-stim",11,182270,"0.0-11.0","2rxUG","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
11381,74,"single-stim",12,194653,"0.0-12.0","2rxUG","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
5404,70,"single-stim",13,201058,"0.0-13.0","2rxUG","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,202060,"0.0-14.0","2rxUG"," ","",NA,""
10139,32,"text",0,10144,"0.0-0.0","4jDqj","","",NA,""
26540,74,"single-stim",1,37720,"0.0-1.0","4jDqj","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
13484,32,"text",2,52207,"0.0-2.0","4jDqj","","",NA,""
8957,32,"text",3,62192,"0.0-3.0","4jDqj","","",NA,""
6135,32,"text",4,69343,"0.0-4.0","4jDqj","","",NA,""
32432,32,"text",5,102791,"0.0-5.0","4jDqj","","",NA,""
3530,32,"text",6,107351,"0.0-6.0","4jDqj","","",NA,""
7920,32,"text",7,116279,"0.0-7.0","4jDqj","","",NA,""
12804,32,"text",8,130095,"0.0-8.0","4jDqj","","",NA,""
27717,74,"single-stim",9,158838,"0.0-9.0","4jDqj","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
19866,74,"single-stim",10,179719,"0.0-10.0","4jDqj","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
7878,74,"single-stim",11,188606,"0.0-11.0","4jDqj","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
10667,70,"single-stim",12,200288,"0.0-12.0","4jDqj","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
9467,70,"single-stim",13,210760,"0.0-13.0","4jDqj","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,211782,"0.0-14.0","4jDqj"," ","",NA,""
7876,32,"text",0,7891,"0.0-0.0","4kNb7","","",NA,""
16381,74,"single-stim",1,25296,"0.0-1.0","4kNb7","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
4683,32,"text",2,31004,"0.0-2.0","4kNb7","","",NA,""
4471,32,"text",3,36494,"0.0-3.0","4kNb7","","",NA,""
3336,32,"text",4,40844,"0.0-4.0","4kNb7","","",NA,""
2799,32,"text",5,44652,"0.0-5.0","4kNb7","","",NA,""
2587,32,"text",6,48244,"0.0-6.0","4kNb7","","",NA,""
3646,32,"text",7,52924,"0.0-7.0","4kNb7","","",NA,""
4048,32,"text",8,57995,"0.0-8.0","4kNb7","","",NA,""
13680,74,"single-stim",9,72686,"0.0-9.0","4kNb7","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
6407,70,"single-stim",10,80107,"0.0-10.0","4kNb7","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
4213,70,"single-stim",11,85341,"0.0-11.0","4kNb7","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
3056,74,"single-stim",12,89403,"0.0-12.0","4kNb7","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
4652,74,"single-stim",13,95084,"0.0-13.0","4kNb7","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,96089,"0.0-14.0","4kNb7"," ","",NA,""
127225,32,"text",0,127239,"0.0-0.0","4nsBl","","",NA,""
19716,70,"single-stim",1,147959,"0.0-1.0","4nsBl","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
27307,32,"text",2,176266,"0.0-2.0","4nsBl","","",NA,""
27449,32,"text",3,204716,"0.0-3.0","4nsBl","","",NA,""
9064,32,"text",4,214781,"0.0-4.0","4nsBl","","",NA,""
8193,32,"text",5,223980,"0.0-5.0","4nsBl","","",NA,""
4344,32,"text",6,229324,"0.0-6.0","4nsBl","","",NA,""
7511,32,"text",7,237835,"0.0-7.0","4nsBl","","",NA,""
4117,32,"text",8,242953,"0.0-8.0","4nsBl","","",NA,""
13793,70,"single-stim",9,257748,"0.0-9.0","4nsBl","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
7434,74,"single-stim",10,266188,"0.0-10.0","4nsBl","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
23544,74,"single-stim",11,290733,"0.0-11.0","4nsBl","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
26007,74,"single-stim",12,317740,"0.0-12.0","4nsBl","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
7136,70,"single-stim",13,325877,"0.0-13.0","4nsBl","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,326888,"0.0-14.0","4nsBl"," ","",NA,""
12613,32,"text",0,12620,"0.0-0.0","4udUH","","",NA,""
37172,70,"single-stim",1,50805,"0.0-1.0","4udUH","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
3414,32,"text",2,55239,"0.0-2.0","4udUH","","",NA,""
12126,32,"text",3,68373,"0.0-3.0","4udUH","","",NA,""
6924,32,"text",4,76326,"0.0-4.0","4udUH","","",NA,""
14587,32,"text",5,91945,"0.0-5.0","4udUH","","",NA,""
42230,32,"text",6,135198,"0.0-6.0","4udUH","","",NA,""
9530,32,"text",7,145733,"0.0-7.0","4udUH","","",NA,""
3042,32,"text",8,149794,"0.0-8.0","4udUH","","",NA,""
31848,70,"single-stim",9,182666,"0.0-9.0","4udUH","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
31447,74,"single-stim",10,215146,"0.0-10.0","4udUH","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
9811,74,"single-stim",11,225975,"0.0-11.0","4udUH","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
9104,70,"single-stim",12,236084,"0.0-12.0","4udUH","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
12312,70,"single-stim",13,249424,"0.0-13.0","4udUH","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,250461,"0.0-14.0","4udUH"," ","",NA,""
10682,32,"text",0,10690,"0.0-0.0","5UcJj","","",NA,""
32114,74,"single-stim",1,43823,"0.0-1.0","5UcJj","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
12568,32,"text",2,57397,"0.0-2.0","5UcJj","","",NA,""
22248,32,"text",3,80651,"0.0-3.0","5UcJj","","",NA,""
18822,32,"text",4,100477,"0.0-4.0","5UcJj","","",NA,""
14016,32,"text",5,115501,"0.0-5.0","5UcJj","","",NA,""
7300,32,"text",6,123806,"0.0-6.0","5UcJj","","",NA,""
20080,32,"text",7,144901,"0.0-7.0","5UcJj","","",NA,""
14439,32,"text",8,160346,"0.0-8.0","5UcJj","","",NA,""
26493,74,"single-stim",9,187854,"0.0-9.0","5UcJj","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
27318,74,"single-stim",10,216180,"0.0-10.0","5UcJj","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
14713,70,"single-stim",11,231905,"0.0-11.0","5UcJj","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
24508,74,"single-stim",12,257422,"0.0-12.0","5UcJj","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
15868,70,"single-stim",13,274303,"0.0-13.0","5UcJj","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,275325,"0.0-14.0","5UcJj"," ","",NA,""
88048,32,"text",0,88055,"0.0-0.0","6YLmR","","",NA,""
16740,70,"single-stim",1,105811,"0.0-1.0","6YLmR","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
2761,32,"text",2,109574,"0.0-2.0","6YLmR","","",NA,""
4842,32,"text",3,115417,"0.0-3.0","6YLmR","","",NA,""
4012,32,"text",4,120431,"0.0-4.0","6YLmR","","",NA,""
2568,32,"text",5,124000,"0.0-5.0","6YLmR","","",NA,""
1991,32,"text",6,126991,"0.0-6.0","6YLmR","","",NA,""
2713,32,"text",7,130706,"0.0-7.0","6YLmR","","",NA,""
1610,32,"text",8,133317,"0.0-8.0","6YLmR","","",NA,""
6745,70,"single-stim",9,141068,"0.0-9.0","6YLmR","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
4072,74,"single-stim",10,146144,"0.0-10.0","6YLmR","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
4364,74,"single-stim",11,151511,"0.0-11.0","6YLmR","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
10867,70,"single-stim",12,163380,"0.0-12.0","6YLmR","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"false"
20953,74,"single-stim",13,185335,"0.0-13.0","6YLmR","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,186338,"0.0-14.0","6YLmR"," ","",NA,""
7140,32,"text",0,7149,"0.0-0.0","71ROp","","",NA,""
5104,70,"single-stim",1,13263,"0.0-1.0","71ROp","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
4118,32,"text",2,18384,"0.0-2.0","71ROp","","",NA,""
3582,32,"text",3,22968,"0.0-3.0","71ROp","","",NA,""
2260,32,"text",4,26229,"0.0-4.0","71ROp","","",NA,""
2542,32,"text",5,29772,"0.0-5.0","71ROp","","",NA,""
4006,32,"text",6,34779,"0.0-6.0","71ROp","","",NA,""
3199,32,"text",7,38980,"0.0-7.0","71ROp","","",NA,""
8491,32,"text",8,48471,"0.0-8.0","71ROp","","",NA,""
10168,74,"single-stim",9,59641,"0.0-9.0","71ROp","<p class='textcenter' id='intro'>The postman was tasked with delivering hundreds of pieces of mail on Tuesday.</p><p class='sentence'>After delivering two-thirds of the mail he was tasked with getting out there, he had less than half of his pile left to deliver.</p>","nc2",74,"true"
12103,74,"single-stim",10,72747,"0.0-10.0","71ROp","<p class='textcenter' id='intro'>Many people attended a number of meetings.</p><p class='sentence'>The new guy in the department offered an opinion at most of the meetings, and surprisingly everyone listened to those opinions.</p>","nc1",74,"true"
10044,70,"single-stim",11,83793,"0.0-11.0","71ROp","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
5017,70,"single-stim",12,89811,"0.0-12.0","71ROp","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"false"
5260,70,"single-stim",13,96073,"0.0-13.0","71ROp","<p class='textcenter' id='intro'>A group of children painted each of 100 eggs a solid color.</p><p class='sentence'>In the end, even though less than half of the eggs were painted green, nonetheless most of the eggs were painted green.</p>","target",NA,""
-1,-1,"single-stim",14,97080,"0.0-14.0","71ROp"," ","",NA,""
10120,32,"text",0,10123,"0.0-0.0","7CTqq","","",NA,""
40292,74,"single-stim",1,51422,"0.0-1.0","7CTqq","<div class='imageholder'><img class='imagecenter' src='critTrial.png'/><div class='caption'><p style='text-align:center'>Consider the image below. Suppose that a dot is purple if it was painted by ''the purple team'', a dot is green if it was painted by ''the green team'', etc. In this light, does the sentence below the picture accurately describe the picture? When you have made your judgment, press <strong>f</strong> for ''yes'', and <strong>j</strong> for ''no''.</p></div><p class='sentence' id='examplesentence'><strong>The yellow team painted most of the dots.</strong></p></div>","",NA,""
13545,32,"text",2,65967,"0.0-2.0","7CTqq","","",NA,""
11142,32,"text",3,78111,"0.0-3.0","7CTqq","","",NA,""
9222,32,"text",4,88335,"0.0-4.0","7CTqq","","",NA,""
4750,32,"text",5,94085,"0.0-5.0","7CTqq","","",NA,""
5146,32,"text",6,100231,"0.0-6.0","7CTqq","","",NA,""
10920,32,"text",7,112151,"0.0-7.0","7CTqq","","",NA,""
4749,32,"text",8,117900,"0.0-8.0","7CTqq","","",NA,""
10785,74,"single-stim",9,129687,"0.0-9.0","7CTqq","<p class='textcenter' id='intro'>There are 14 Chicago radio stations currently operating.</p><p class='sentence'>Every Chicago radio station might play the blues 24/7, but every Chicago radio station might not play the blues 24/7.</p>","nc2",74,"true"
8915,70,"single-stim",10,139604,"0.0-10.0","7CTqq","<p class='textcenter' id='intro'>A hot new record label released 7 albums last year.</p><p class='sentence'>One particular musician recorded a song that appeared on every one of those albums, even though he didn't record any songs.</p>","c1",70,"true"
