subject,trial_index,trial_type,list,responses,subject,trial_index,trial_type,list,Type,Sentence,Response,item,cond,repeatability,IlluBare,quantifier,ellipsis,additive,Fill1,Fill2
MEKxu,193,survey-text,3,"{""Q0"":""I did! It was tough to look at structures versus sentences that made sense."",""Q1"":""Comparative sentences with a group compared to a single person felt wrong and right in different ways."",""Q2"":""Nothing else, thanks!""}",MEKxu,193,survey-text,3,,,,,,,,,,,,
MHXwc,193,survey-text,4,"{""Q0"":""It was hard because there were similar sounding sentences. "",""Q1"":""The ones that had illogical occurences jumped out."",""Q2"":""It was fun.""}",MHXwc,193,survey-text,4,,,,,,,,,,,,
Mr46K,193,survey-text,8,"{""Q0"":""Not really, as I read most of them in a news voice in my head, and decided from there."",""Q1"":""The Sally-Mae one did, but I know it as a financial institution, not the farmers daughter. "",""Q2"":""Thank you!""}",Mr46K,193,survey-text,8,,,,,,,,,,,,
MtZRT,193,survey-text,4,"{""Q0"":""I did find it somewhat challenging to stay objective in judging on naturalness only and not proper grammar. Not overly challenging but just made me \""think\"" a little more before answering."",""Q1"":""Nothing in particular jumped out to me."",""Q2"":""All instructions were clear and very easy to understand.""}",MtZRT,193,survey-text,4,,,,,,,,,,,,
NEHMl,193,survey-text,3,"{""Q0"":""Some statements could have been interpreted as normal English if I heard them and not read them. By reading, I was able to see they did NOT sound plausible."",""Q1"":""The sentences you had to analyze. Where Cecil could have been a girls nickname."",""Q2"":""All loaded fine in Firefox Browser. - Cheers""}",NEHMl,193,survey-text,3,,,,,,,,,,,,
NQs5k,193,survey-text,4,"{""Q0"":""no. It was completely an intuitive process"",""Q1"":""no"",""Q2"":""nope""}",NQs5k,193,survey-text,4,,,,,,,,,,,,
o7UCK,193,survey-text,6,"{""Q0"":""Somewhat challenging because most of the sentences looked good to me, so I wasn't sure if I answered correctly."",""Q1"":""None"",""Q2"":""""}",o7UCK,193,survey-text,6,,,,,,,,,,,,
OHie0,193,survey-text,3,"{""Q0"":""no, most of the sentences were either clearly good or clearly bad"",""Q1"":""the ones that compared what one person was doing to what a large group of people were doing. "",""Q2"":""I hope your research is a succcess!""}",OHie0,193,survey-text,3,,,,,,,,,,,,
Okpp4,193,survey-text,6,"{""Q0"":""No."",""Q1"":""None."",""Q2"":""Great HIT.""}",Okpp4,193,survey-text,6,,,,,,,,,,,,
OSEvX,193,survey-text,5,"{""Q0"":""I felt it was slightly easy because the sentences were fairly easy to read."",""Q1"":""None."",""Q2"":""Enjoyed.""}",OSEvX,193,survey-text,5,,,,,,,,,,,,
PRY8W,193,survey-text,7,"{""Q0"":""No, not too challenging."",""Q1"":""None in particular."",""Q2"":""Nope""}",PRY8W,193,survey-text,7,,,,,,,,,,,,
qvTsx,193,survey-text,4,"{""Q0"":""No the directions were clear and straight forward."",""Q1"":""The sentence's that sounded correct stood out a little more than the confusing ones."",""Q2"":""""}",qvTsx,193,survey-text,4,,,,,,,,,,,,
r3xAs,193,survey-text,2,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""Thank you""}",r3xAs,193,survey-text,2,,,,,,,,,,,,
RBKeE,193,survey-text,4,"{""Q0"":""No it was really fun"",""Q1"":""Some sentences i thought about for a little bit longer than the others"",""Q2"":""Very fun study thank you!""}",RBKeE,193,survey-text,4,,,,,,,,,,,,
RghrM,193,survey-text,3,"{""Q0"":""It was a little bit frustrating and challenging, But I think I did pretty well, or I hope I did anyway."",""Q1"":""No, they did not. "",""Q2"":""Thank you for allowing me to participate! Hope I was able to contribute for you. ""}",RghrM,193,survey-text,3,,,,,,,,,,,,
Rm9cs,193,survey-text,8,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""""}",Rm9cs,193,survey-text,8,,,,,,,,,,,,
S1mRM,193,survey-text,8,"{""Q0"":""not really, I read the sentences and thought how I'd react if someone said it to me (did it sound odd, ok, good, etc)"",""Q1"":""no"",""Q2"":""""}",S1mRM,193,survey-text,8,,,,,,,,,,,,
SAr00,193,survey-text,3,"{""Q0"":""Yes, it was difficult to determine if a sentence was grammatically correct if it did not make sense. "",""Q1"":""The sentences that compared a group to a singular person were awkward. "",""Q2"":""""}",SAr00,193,survey-text,3,,,,,,,,,,,,
STamX,193,survey-text,6,"{""Q0"":""It wasn't too challenging because you just rated how the sentences seemed to you."",""Q1"":""No."",""Q2"":""Nothing.""}",STamX,193,survey-text,6,,,,,,,,,,,,
Suu6O,193,survey-text,7,"{""Q0"":""A little, a few I had to reread to make sure they did actually make sense."",""Q1"":""The comparison ones, like \""so and so, more than so and so\"" "",""Q2"":""Enjoyable work, thanks! ""}",Suu6O,193,survey-text,7,,,,,,,,,,,,
TkpSN,193,survey-text,5,"{""Q0"":""Yes. Sometimes it was hard to separate the logic of the sentence from how proper the English was."",""Q1"":""The plants that hung on the fence will know potting. Are they sentient flowers? Will they know potting in sort of a Biblical sense? This one will stick with me for a while."",""Q2"":""If it wasn't for my horse I wouldn't have spent that semester in college.""}",TkpSN,193,survey-text,5,,,,,,,,,,,,
TxbbU,193,survey-text,1,"{""Q0"":""It was challenging because even though some sounded correct, they weren't"",""Q1"":""no"",""Q2"":""no comments""}",TxbbU,193,survey-text,1,,,,,,,,,,,,
TXsyO,193,survey-text,5,"{""Q0"":"""",""Q1"":""Nope"",""Q2"":""Thanks!""}",TXsyO,193,survey-text,5,,,,,,,,,,,,
U4QIg,193,survey-text,6,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",U4QIg,193,survey-text,6,,,,,,,,,,,,
uKttK,193,survey-text,5,"{""Q0"":""Wasn't too challenging, except for the sentences that compared a single person to a group of people.  Or dissimilar groups to one another. "",""Q1"":""The sentences that compare one person with a group are very tricky to judge."",""Q2"":""""}",uKttK,193,survey-text,5,,,,,,,,,,,,
uuGYT,193,survey-text,7,"{""Q0"":""I found certain types of sentences a bit challenging. Mainly the ones that compared actions of different people or groups. "",""Q1"":""No, not really"",""Q2"":""""}",uuGYT,193,survey-text,7,,,,,,,,,,,,
vnUjd,193,survey-text,6,"{""Q0"":""No because I speak native Engilsh."",""Q1"":""Yes, the ones where a group did more than an individual."",""Q2"":""no""}",vnUjd,193,survey-text,6,,,,,,,,,,,,
wZH6v,193,survey-text,1,"{""Q0"":""na"",""Q1"":""na"",""Q2"":""ty""}",wZH6v,193,survey-text,1,,,,,,,,,,,,
x3Rs7,193,survey-text,4,"{""Q0"":""Yes, I felt there was quite a bit of subjectivity involved."",""Q1"":""A type of sentence that claimed fewer people did something than one person did."",""Q2"":""Thanks!""}",x3Rs7,193,survey-text,4,,,,,,,,,,,,
xiYer,193,survey-text,2,"{""Q0"":""Not really, it was kind of obvious which were poorly worded."",""Q1"":""Not that i noticed"",""Q2"":""It went smooth""}",xiYer,193,survey-text,2,,,,,,,,,,,,
xjC6C,193,survey-text,6,"{""Q0"":""Not particularly."",""Q1"":""The ones where they were phrased like \""fewer people did this than John did.\"" Those came up a lot and were odd. "",""Q2"":""Not really. ""}",xjC6C,193,survey-text,6,,,,,,,,,,,,
XOGWi,193,survey-text,6,"{""Q0"":""Yes... it was difficult to stay on track and not judging the sentence on grammar or likelihood."",""Q1"":""A couple did a bit, however, I don't remember which."",""Q2"":""Nothing else to add, thank you!""}",XOGWi,193,survey-text,6,,,,,,,,,,,,
xTE3k,193,survey-text,1,"{""Q0"":""Not as much challenging as thought provoking and intriguing."",""Q1"":""Not really."",""Q2"":""Thanks for the task!""}",xTE3k,193,survey-text,1,,,,,,,,,,,,
XXz4A,193,survey-text,2,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",XXz4A,193,survey-text,2,,,,,,,,,,,,
YiDCK,193,survey-text,7,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",YiDCK,193,survey-text,7,,,,,,,,,,,,
ZjjAI,193,survey-text,1,"{""Q0"":""A little. Sometimes it was hard to rate a sentence as a 3 or a 4, for example."",""Q1"":""there seemed to be a number of sentences that compared a group to an individual. \""More Americans do x than Harry does y\""..."",""Q2"":""""}",ZjjAI,193,survey-text,1,,,,,,,,,,,,
1K8Se,11,survey-likert,8,,1K8Se,11,survey-likert,8,item,Fewer teenage boys skip school on Wednesdays than teenage girls do.,7,42,7,GEN,BARE,FEW,ELLIP,notjust,,
1K8Se,23,survey-likert,8,,1K8Se,23,survey-likert,8,item,More Texans ran for Governor in the last election season than Alaskans did.,7,20,5,EPI,BARE,MORE,ELLIP,notjust,,
1K8Se,30,survey-likert,8,,1K8Se,30,survey-likert,8,item,Last month more couples had their second child than single parents did.,6,4,5,EPI,BARE,MORE,ELLIP,notjust,,
1K8Se,37,survey-likert,8,,1K8Se,37,survey-likert,8,item,Fewer girls got their tonsils removed over the summer break than boys had braces fitted.,6,17,8,EPI,BARE,FEW,NON,notjust,,
1K8Se,38,survey-likert,8,,1K8Se,38,survey-likert,8,item,This year more senior professors ran for for president than Richard did.,2,16,1,EPI,ILLU,MORE,ELLIP,justme,,
1K8Se,40,survey-likert,8,,1K8Se,40,survey-likert,8,item,More youngsters wear red overalls to school than Amos does.,2,40,1,GEN,ILLU,MORE,ELLIP,justme,,
1K8Se,42,survey-likert,8,,1K8Se,42,survey-likert,8,item,Fewer women have been treated at this hospital than Mack has been fed at that diner.,2,45,4,GEN,ILLU,FEW,NON,justme,,
1K8Se,46,survey-likert,8,,1K8Se,46,survey-likert,8,item,More Californians have cheated on their taxes than university students have.,7,36,5,GEN,BARE,MORE,ELLIP,notjust,,
1K8Se,49,survey-likert,8,,1K8Se,49,survey-likert,8,item,More mathematicians have solved this puzzle than philosophers have.,7,12,5,EPI,BARE,MORE,ELLIP,notjust,,
1K8Se,50,survey-likert,8,,1K8Se,50,survey-likert,8,item,Fewer students get involved with team sports than teachers get involved in community service.,7,33,8,GEN,BARE,FEW,NON,notjust,,
1K8Se,55,survey-likert,8,,1K8Se,55,survey-likert,8,item,For vacation more Europeans travel to New Zealand than Latin Americans travel to Africa.,6,35,6,GEN,BARE,MORE,NON,notjust,,
1K8Se,59,survey-likert,8,,1K8Se,59,survey-likert,8,item,Fewer biologists travel to the Pacific Islands than Max does.,2,30,3,GEN,ILLU,FEW,ELLIP,justme,,
1K8Se,67,survey-likert,8,,1K8Se,67,survey-likert,8,item,This year fewer reporters have bought lottery tickets than the cameraman has bought stocks.,7,37,4,GEN,ILLU,FEW,NON,notjust,,
1K8Se,68,survey-likert,8,,1K8Se,68,survey-likert,8,item,Fewer girls graduated from high school last year than boys graduated from college.,7,1,8,EPI,BARE,FEW,NON,notjust,,
1K8Se,72,survey-likert,8,,1K8Se,72,survey-likert,8,item,This year more seniors had their left hip replaced than Timothy did.,3,24,1,EPI,ILLU,MORE,ELLIP,justme,,
1K8Se,74,survey-likert,8,,1K8Se,74,survey-likert,8,item,These days more farmers gamble in Vegas than Sally-Mae does.,2,32,1,GEN,ILLU,MORE,ELLIP,justme,,
1K8Se,84,survey-likert,8,,1K8Se,84,survey-likert,8,item,This year more firemen have retired from service than doctors have retired from medical practice.,7,11,6,EPI,BARE,MORE,NON,notjust,,
1K8Se,91,survey-likert,8,,1K8Se,91,survey-likert,8,item,More acrobats have performed on this stage than the juggler has performed in the circus.,3,31,2,GEN,ILLU,MORE,NON,notjust,,
1K8Se,92,survey-likert,8,,1K8Se,92,survey-likert,8,item,These days fewer customers call to complain than shareholders call to offer praise.,7,41,8,GEN,BARE,FEW,NON,notjust,,
1K8Se,95,survey-likert,8,,1K8Se,95,survey-likert,8,item,Today fewer Brazilians immigrated to Japan than Chileans immigrated to the USA.,7,9,8,EPI,BARE,FEW,NON,notjust,,
1K8Se,98,survey-likert,8,,1K8Se,98,survey-likert,8,item,More neighborhood boys take swimming lessons than Isabel does.,2,48,1,GEN,ILLU,MORE,ELLIP,notjust,,
1K8Se,101,survey-likert,8,,1K8Se,101,survey-likert,8,item,This season fewer freshmen attended away games than Julie did.,2,38,3,GEN,ILLU,FEW,ELLIP,justme,,
1K8Se,102,survey-likert,8,,1K8Se,102,survey-likert,8,item,More workers were laid off from the plant than the manager was fired from the factory.,2,15,2,EPI,ILLU,MORE,NON,notjust,,
1K8Se,113,survey-likert,8,,1K8Se,113,survey-likert,8,item,Fewer Swiss teenagers open checking accounts than British teenagers do.,7,34,7,GEN,BARE,FEW,ELLIP,notjust,,
1K8Se,119,survey-likert,8,,1K8Se,119,survey-likert,8,item,Fewer photographers won their third Pulitzer this year than the professor won his third Nobel.,2,5,4,EPI,ILLU,FEW,NON,notjust,,
1K8Se,121,survey-likert,8,,1K8Se,121,survey-likert,8,item,More Americans began law school this week than Megan began medical school.,1,7,2,EPI,ILLU,MORE,NON,justme,,
1K8Se,122,survey-likert,8,,1K8Se,122,survey-likert,8,item,Last summer fewer 5-year-olds learned to ride a bike than Fran's son did.,1,14,3,EPI,ILLU,FEW,ELLIP,justme,,
1K8Se,126,survey-likert,8,,1K8Se,126,survey-likert,8,item,More sophomores have attended departmental Open Houses than Parker has attended orientation.,1,47,2,GEN,ILLU,MORE,NON,justme,,
1K8Se,130,survey-likert,8,,1K8Se,130,survey-likert,8,item,Fewer gym instructors won a marathon yesterday than the lawyer did.,1,6,3,EPI,ILLU,FEW,ELLIP,notjust,,
1K8Se,131,survey-likert,8,,1K8Se,131,survey-likert,8,item,This week more writers published their first book than the photographer published his first photo essay.,2,23,2,EPI,ILLU,MORE,NON,notjust,,
1K8Se,133,survey-likert,8,,1K8Se,133,survey-likert,8,item,This semester fewer foreign applicants got into Stanford than Americans did.,7,2,7,EPI,BARE,FEW,ELLIP,notjust,,
1K8Se,139,survey-likert,8,,1K8Se,139,survey-likert,8,item,More Midwesterners learned to drive last year than Californians learned to sail.,7,19,6,EPI,BARE,MORE,NON,notjust,,
1K8Se,142,survey-likert,8,,1K8Se,142,survey-likert,8,item,Fewer Australian students have taken a year off than the Korean student has.,1,46,3,GEN,ILLU,FEW,ELLIP,notjust,,
1K8Se,148,survey-likert,8,,1K8Se,148,survey-likert,8,item,More grandparents lose money at the casino than young parents lose money at the horse races.,7,43,6,GEN,BARE,MORE,NON,notjust,,
1K8Se,149,survey-likert,8,,1K8Se,149,survey-likert,8,item,More boys got an A on the exam yesterday than girls got a B on the assignment.,7,3,6,EPI,BARE,MORE,NON,notjust,,
1K8Se,150,survey-likert,8,,1K8Se,150,survey-likert,8,item,This month more one-year-olds took their first steps than Sally did.,1,8,1,EPI,ILLU,MORE,ELLIP,justme,,
1K8Se,152,survey-likert,8,,1K8Se,152,survey-likert,8,item,This fall fewer teenage boys got their first car than teenage girls did.,7,18,7,EPI,BARE,FEW,ELLIP,notjust,,
1K8Se,156,survey-likert,8,,1K8Se,156,survey-likert,8,item,Fewer tycoons opened a new hotel this morning than Roseanne did.,2,22,3,EPI,ILLU,FEW,ELLIP,justme,,
1K8Se,166,survey-likert,8,,1K8Se,166,survey-likert,8,item,At school fewer boys get in trouble for fighting than girls do.,7,26,7,GEN,BARE,FEW,ELLIP,notjust,,
1K8Se,167,survey-likert,8,,1K8Se,167,survey-likert,8,item,Fewer lawyers go to the gym on weekends than models go to the pool.,7,25,8,GEN,BARE,FEW,NON,notjust,,
1K8Se,169,survey-likert,8,,1K8Se,169,survey-likert,8,item,More undergrads call their families during the week than grad students do.,6,44,5,GEN,BARE,MORE,ELLIP,notjust,,
1K8Se,171,survey-likert,8,,1K8Se,171,survey-likert,8,item,More commuters take the train on the weekend than tourists take the bus.,7,27,6,GEN,BARE,MORE,NON,notjust,,
1K8Se,175,survey-likert,8,,1K8Se,175,survey-likert,8,item,Fewer Canadians named their first son Enrique than Sonya named her second son Leon.,1,13,4,EPI,ILLU,FEW,NON,justme,,
1K8Se,179,survey-likert,8,,1K8Se,179,survey-likert,8,item,Fewer Canadians play hockey in the winter than Steven plays racquetball.,2,29,4,GEN,ILLU,FEW,NON,justme,,
1K8Se,181,survey-likert,8,,1K8Se,181,survey-likert,8,item,Fewer 18-year-olds voted in this election than 40-year-olds did.,7,10,7,EPI,BARE,FEW,ELLIP,notjust,,
1K8Se,184,survey-likert,8,,1K8Se,184,survey-likert,8,item,More kids go to camp in the summer than teenagers do.,7,28,5,GEN,BARE,MORE,ELLIP,notjust,,
1K8Se,186,survey-likert,8,,1K8Se,186,survey-likert,8,item,More plumbers receive employee health benefits than the carpenter receives retirement benefits.,2,39,2,GEN,ILLU,MORE,NON,notjust,,
1K8Se,192,survey-likert,8,,1K8Se,192,survey-likert,8,item,Last year fewer new bands had their first stadium show than Nick had his first open air concert.,1,21,4,EPI,ILLU,FEW,NON,justme,,
3qjBZ,2,survey-likert,3,,3qjBZ,2,survey-likert,3,item,Fewer kids go to camp in the summer than teenagers go to Arizona in the winter.,6,28,8,GEN,BARE,FEW,NON,notjust,,
3qjBZ,6,survey-likert,3,,3qjBZ,6,survey-likert,3,item,At school more boys get in trouble for fighting than Lisa gets in trouble for talking.,5,26,2,GEN,ILLU,MORE,NON,notjust,,
3qjBZ,9,survey-likert,3,,3qjBZ,9,survey-likert,3,item,More 18-year-olds voted in this election than Amy's father voted in the last election.,4,10,2,EPI,ILLU,MORE,NON,notjust,,
3qjBZ,14,survey-likert,3,,3qjBZ,14,survey-likert,3,item,More Australian students have taken a year off than Korean students have taken a semester abroad.,7,46,6,GEN,BARE,MORE,NON,notjust,,
3qjBZ,15,survey-likert,3,,3qjBZ,15,survey-likert,3,item,Fewer neighborhood boys take swimming lessons than Isabel takes riding lessons.,4,48,4,GEN,ILLU,FEW,NON,notjust,,
3qjBZ,17,survey-likert,3,,3qjBZ,17,survey-likert,3,item,This month fewer one-year-olds took their first steps than Sally said her first word.,3,8,4,EPI,ILLU,FEW,NON,justme,,
3qjBZ,20,survey-likert,3,,3qjBZ,20,survey-likert,3,item,More sophomores have attended departmental Open Houses than seniors have.,7,47,5,GEN,BARE,MORE,ELLIP,notjust,,
3qjBZ,22,survey-likert,3,,3qjBZ,22,survey-likert,3,item,This year fewer seniors had their left hip replaced than Timothy had his appendix removed.,5,24,4,EPI,ILLU,FEW,NON,justme,,
3qjBZ,24,survey-likert,3,,3qjBZ,24,survey-likert,3,item,More acrobats have performed on this stage than jugglers have.,7,31,5,GEN,BARE,MORE,ELLIP,notjust,,
3qjBZ,25,survey-likert,3,,3qjBZ,25,survey-likert,3,item,More tycoons opened a new hotel this morning than heiresses opened a new spa.,6,22,6,EPI,BARE,MORE,NON,notjust,,
3qjBZ,28,survey-likert,3,,3qjBZ,28,survey-likert,3,item,More teenage boys skip school on Wednesdays than Julie skips school on Fridays.,5,42,2,GEN,ILLU,MORE,NON,justme,,
3qjBZ,31,survey-likert,3,,3qjBZ,31,survey-likert,3,item,More biologists travel to the Pacific Islands than anthropologists travel to Australia.,6,30,6,GEN,BARE,MORE,NON,notjust,,
3qjBZ,34,survey-likert,3,,3qjBZ,34,survey-likert,3,item,This semester more foreign applicants got into Stanford than Marie got into Harvard.,5,2,2,EPI,ILLU,MORE,NON,notjust,,
3qjBZ,38,survey-likert,3,,3qjBZ,38,survey-likert,3,item,Today fewer Brazilians immigrated to Japan than Peter's mother did.,4,9,3,EPI,ILLU,FEW,ELLIP,justme,,
3qjBZ,49,survey-likert,3,,3qjBZ,49,survey-likert,3,item,Last month fewer couples had their second child than single parents had their first child.,7,4,8,EPI,BARE,FEW,NON,notjust,,
3qjBZ,50,survey-likert,3,,3qjBZ,50,survey-likert,3,item,More plumbers receive employee health benefits than carpenters do.,7,39,5,GEN,BARE,MORE,ELLIP,notjust,,
3qjBZ,53,survey-likert,3,,3qjBZ,53,survey-likert,3,item,Fewer lawyers go to the gym on weekends than Adelle does.,4,25,3,GEN,ILLU,FEW,ELLIP,justme,,
3qjBZ,59,survey-likert,3,,3qjBZ,59,survey-likert,3,item,More commuters take the train on the weekend than Donald does.,4,27,1,GEN,ILLU,MORE,ELLIP,justme,,
3qjBZ,65,survey-likert,3,,3qjBZ,65,survey-likert,3,item,Fewer girls had their tonsils removed over the summer break than the boy did.,4,17,3,EPI,ILLU,FEW,ELLIP,notjust,,
3qjBZ,69,survey-likert,3,,3qjBZ,69,survey-likert,3,item,Fewer Canadians named their first son Enrique than Mexicans did.,7,13,7,EPI,BARE,FEW,ELLIP,notjust,,
3qjBZ,73,survey-likert,3,,3qjBZ,73,survey-likert,3,item,Fewer mathematicians have solved this puzzle than philosophers have solved that puzzle.,7,12,8,EPI,BARE,FEW,NON,notjust,,
3qjBZ,80,survey-likert,3,,3qjBZ,80,survey-likert,3,item,More gym instructors won a marathon yesterday than lawyers won a triathlon.,7,6,6,EPI,BARE,MORE,NON,notjust,,
3qjBZ,81,survey-likert,3,,3qjBZ,81,survey-likert,3,item,More Americans began law school this week than Canadians did.,7,7,5,EPI,BARE,MORE,ELLIP,notjust,,
3qjBZ,89,survey-likert,3,,3qjBZ,89,survey-likert,3,item,These days fewer farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,4,32,4,GEN,ILLU,FEW,NON,justme,,
3qjBZ,92,survey-likert,3,,3qjBZ,92,survey-likert,3,item,Fewer Canadians play hockey in the winter than Americans do.,7,29,7,GEN,BARE,FEW,ELLIP,notjust,,
3qjBZ,98,survey-likert,3,,3qjBZ,98,survey-likert,3,item,Fewer girls graduated from high school last year than John did.,4,1,3,EPI,ILLU,FEW,ELLIP,notjust,,
